is_page_list,name,parent_category_id,unique_id,url
True,lambourdes & tasseaux,1fe39fe9-0568-46d5-8a69-794994705220,cf5fd1cb-f65f-4bb7-a743-7ddf2a67cac8,https://boutique-parquet.com/accessoires/lambourdes-tasseaux
True,nez de marche,1fe39fe9-0568-46d5-8a69-794994705220,43b2ba76-c4de-451f-8e93-6190818b3589,https://boutique-parquet.com/accessoires/nez-de-marche
True,outillage parquet,1fe39fe9-0568-46d5-8a69-794994705220,d69ed468-df41-414d-b2aa-205e93abf4d4,https://boutique-parquet.com/accessoires/outillage-parquet
True,plinthes,1fe39fe9-0568-46d5-8a69-794994705220,c0c634d2-838a-459f-a707-018b08c75c85,https://boutique-parquet.com/accessoires/plinthes
True,plinthes hydrofuges,1fe39fe9-0568-46d5-8a69-794994705220,19c150a1-ed66-4fd6-9047-2751216e76b4,https://boutique-parquet.com/accessoires/plinthes-hydrofuges
True,profilés,1fe39fe9-0568-46d5-8a69-794994705220,e0c80a85-e22d-49f7-a9b8-1112db355c63,https://boutique-parquet.com/accessoires/profiles
True,quarts de rond,1fe39fe9-0568-46d5-8a69-794994705220,57083972-ece7-4d11-b13f-1072474fbf7c,https://boutique-parquet.com/accessoires/quarts-de-rond
True,rouleaux & montures,1fe39fe9-0568-46d5-8a69-794994705220,a5e2cc4f-9009-47b7-ba63-28b4a6120c83,https://boutique-parquet.com/accessoires/rouleaux-montures
True,sous-couches,1fe39fe9-0568-46d5-8a69-794994705220,cf94ce26-850f-483f-8e33-68d8f23b02a8,https://boutique-parquet.com/accessoires/sous-couches
True,sous-profilés incizo,1fe39fe9-0568-46d5-8a69-794994705220,2b0f36af-9a8d-4797-997b-b1ca14b5f3ff,https://boutique-parquet.com/accessoires/sous-profile-incizo
True,vis façades,1fe39fe9-0568-46d5-8a69-794994705220,7322b4e9-76e7-4fa5-83c7-31abe9527b94,https://boutique-parquet.com/accessoires/vis-facades
True,accessoires de nettoyage pour le parquet,1fe39fe9-0568-46d5-8a69-794994705220,a9674280-0050-4501-8d6c-a62e597a1723,https://boutique-parquet.com/accessoires/accessoires-de-nettoyage-pour-le-parquet
name,parent_category_id,promotional_price,regular_price,unique_id,url
lamett - parquet contrecollé chêne alta à bâton rompu (125 × 625 mm) invisible,8b582ece-f55a-46ad-a4dd-cd84b9fbda28,"106,03 €","113,03 €",ALT HB 125-1817,https://boutique-parquet.com/lamett-parquet-contrecolle-chene-alta-a-baton-rompu-125-625-mm-invisible.html
design parquet - parquet massif merbau huilé (140 mm x 14 mm) 4 chanfreins,829beb4f-fe86-425e-92b1-e080575f8036,"95,04 €","105,60 €",B-MERH140X14,https://boutique-parquet.com/parquet-massif-merbau-huile-140mm-x-14mm-4chanfreins.html
sol stratifié - impressive patterns - chêne royal brun foncé,4cc9f3c6-e1bc-425a-b862-6ed9427605a3,"38,65 €","42,95 €",B-IPA4145,https://boutique-parquet.com/sol-stratifie-impressive-patterns-chene-royal-brun-fonce.html
solidfloor - parquet chêne - specials kentucky vieilli main et scié extra large,37b2305c-f72f-4af0-bf61-a7e1b8551d08,"133,91 €","148,79 €",B-1204381,https://boutique-parquet.com/solidfloor-parquet-chene-specials-kentucky-vieilli-main-et-scie-extra-large.html
sig4761 - stratifié quick step - capture - noyer chic,76d23e54-0872-4872-99c8-fa86b4d8b60e,"33,95 €","39,95 €",B-SIG4761,https://boutique-parquet.com/sol-stratifie-signature-noyer-chic.html
solidfloor - parquet chêne - specials vermont vieilli main et scié,37b2305c-f72f-4af0-bf61-a7e1b8551d08,"131,87 €","146,53 €",B-1204370,https://boutique-parquet.com/solidfloor-parquet-chene-specials-vermont-vieilli-main-et-scie.html
haro parquet - planche large à l'ancienne série 4000 - chêne fumé léger - blanc puro sauvage - brossé 4v huilé,9b8ed7f5-b561-489e-a150-3e6ff360da5e,"89,90 €","106,96 €",B-548012,https://boutique-parquet.com/haro-parquet-planche-large-a-l-ancienne-serie-4000-chene-fume-leger-blanc-puro-sauvage-brosse-4v-huile.html
lamett - parquet contrecollé chêne alta à bâton rompu (125 × 625 mm) natural,8b582ece-f55a-46ad-a4dd-cd84b9fbda28,"106,03 €","113,03 €",ALT HB 125-110,https://boutique-parquet.com/lamett-parquet-contrecolle-chene-alta-a-baton-rompu-125-625-mm-natural.html
solidfloor - parquet chêne - specials nova scotia vieilli main et scié extra large,37b2305c-f72f-4af0-bf61-a7e1b8551d08,"133,91 €","148,79 €",B-1204380,https://boutique-parquet.com/solidfloor-parquet-chene-specials-nova-scotia-vieilli-main-et-scie-extra-large.html
parquetvinyl - lame pvc bâton rompu avec sous-couche intégrée- mantaro fossil,8416d8f0-09d1-4a0f-97da-b88da570f44f,"49,13 €","54,59 €",B-MAN-HB-5611-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-baton-rompu-avec-sous-couche-integree-mantaro-fossil.html
parquet stratifié - tritty 200 aqua - gran via 4v - chêne sicilia blanc,c238c2ae-bff1-4a50-bea1-550e2f574ebe,"29,95 €","34,96 €",B-537374,https://boutique-parquet.com/parquet-stratifie-tritty-200-aqua-gran-via-4v-chene-sicilia-blanc.html
fiberdeck - gabarit de perçage + 4 espaceurs cobra liner,7c1bb816-02f4-42d9-bc6a-dd5e8d3eba4c,"14,53 €","18,50 €",B-0603,https://boutique-parquet.com/fiberdeck-gabarit-de-percage-4-espaceurs-cobra-liner.html
fiberdeck - espaceur de lames deck spacer (8 pièces),7c1bb816-02f4-42d9-bc6a-dd5e8d3eba4c,"6,29 €","9,00 €",B-0604,https://boutique-parquet.com/fiberdeck-espaceur-de-lames-deck-spacer-8-pieces.html
"fiberdeck - bitudeck  bande bitumeuse 7,5 cm x 10 m - cobra fastener",4c50af3f-d29a-4b8e-849f-0903269c4fc6,"13,99 €","18,50 €",B-2306,https://boutique-parquet.com/fiberdeck-bitudeck-bande-bitumeuse-7-5-cm-x-10-m-cobra-fastener.html
avmtu40333 - sol pvc avec sous-couche intégrée - illume - blush tendre,69bfc4b0-c994-46b1-bc74-5d541ec7e8cf,"43,99 €","49,99 €",B-AVMTU40333,https://boutique-parquet.com/avmtu40333-sol-pvc-avec-sous-couche-integree-illume-blush-tendre.html
design parquet - parquet massif chêne huilé (140 mm x 20 mm) rustique 4 chanfreins,931917fc-9f17-4079-8e23-5a8957a9e69a,"128,40 €","142,80 €",B-BP-003H,https://boutique-parquet.com/design-parquet-parquet-massif-chene-huile-140-mm-x-20-mm-rustique-sans-chanfreins.html
avmtu40334 - sol pvc avec sous-couche intégrée - illume - sauge tendre,69bfc4b0-c994-46b1-bc74-5d541ec7e8cf,"43,99 €","49,99 €",B-AVMTU40334,https://boutique-parquet.com/avmtu40333-sol-pvc-avec-sous-couche-integree-illume-sauge-tendre.html
